id1,id2,id3,R2_N3_cv,R2_N3_fit
2,3,18,-1.93,0.671
2,3,19,-1.759,0.49
2,3,20,-1.916,0.616
2,3,21,-1.922,0.659
2,3,22,-2.174,0.609
2,3,23,-1.025,0.575
2,3,24,-1.34,0.543
2,3,25,-1.944,0.556
2,3,26,-0.54,0.676
2,3,27,-2.166,0.451
2,3,28,-1.911,0.668
2,3,29,-2.378,0.569
2,3,30,-2.088,0.615
2,3,31,-1.891,0.599
2,4,5,-2.209,0.637
2,4,6,-1.841,0.585
2,4,7,-2.064,0.543
2,4,8,-2.093,0.56
2,4,9,-2.178,0.575
2,4,10,-2.304,0.579
2,4,11,-1.497,0.594
2,4,12,-1.927,0.567
2,4,13,-1.714,0.575
2,4,14,-2.194,0.553
2,4,15,-1.034,0.747
2,4,16,-1.769,0.625
2,4,17,-1.149,0.674
2,4,18,-1.511,0.785
2,4,19,-1.858,0.55
2,4,20,-1.777,0.572
2,4,21,-1.647,0.727
2,4,22,-2.117,0.701
2,4,23,-1.223,0.564
2,4,24,-1.087,0.641
2,4,25,-1.874,0.551
2,4,26,-0.55,0.723
2,4,27,-2.609,0.586
2,4,28,-2.106,0.689
2,4,29,-2.051,0.783
2,4,30,-1.648,0.665
2,4,31,-1.682,0.663
2,5,6,-2.275,0.588
2,5,7,-3.613,0.449
2,5,8,-3.68,0.442
2,5,9,-3.613,0.324
2,5,10,-3.663,0.318
2,5,11,-2.689,0.389
2,5,12,-3.04,0.363
2,5,13,-2.6,0.362
2,5,14,-3.913,0.349
2,5,15,-1.372,0.625
2,5,16,-3.139,0.659
2,5,17,-1.382,0.646
2,5,18,-2.836,0.424
2,5,19,-2.424,0.557
2,5,20,-2.353,0.624
2,5,21,-2.87,0.468
2,5,22,-3.291,0.443
2,5,23,-1.57,0.457
2,5,24,-1.709,0.495
2,5,25,-2.326,0.546
2,5,26,-0.635,0.528
2,5,27,-7.555,0.33
2,5,28,-2.418,0.681
2,5,29,-3.281,0.43
2,5,30,-2.459,0.459
2,5,31,-2.621,0.442
2,6,7,-2.195,0.537
2,6,8,-2.19,0.543
2,6,9,-2.059,0.602
2,6,10,-1.919,0.593
2,6,11,-1.396,0.635
2,6,12,-2.051,0.553
2,6,13,-1.512,0.559
2,6,14,-2.147,0.542
2,6,15,-0.578,0.822
2,6,16,-1.805,0.705
2,6,17,-0.765,0.736
2,6,18,-1.816,0.598
2,6,19,-1.631,0.56
2,6,20,-1.59,0.607
2,6,21,-1.617,0.644
2,6,22,-2.132,0.623
2,6,23,-0.986,0.635
2,6,24,-0.791,0.645
2,6,25,-1.517,0.625
2,6,26,-0.269,0.656
2,6,27,-2.497,0.622
2,6,28,-1.575,0.716
2,6,29,-1.826,0.795
2,6,30,-1.541,0.631
2,6,31,-1.75,0.618
2,7,8,-3.424,0.402
2,7,9,-3.213,0.444
2,7,10,-3.323,0.427
2,7,11,-2.135,0.434
2,7,12,-2.57,0.474
2,7,13,-2.084,0.515
2,7,14,-3.492,0.523
2,7,15,-1.354,0.667
2,7,16,-2.808,0.583
2,7,17,-1.099,0.639
2,7,18,-2.42,0.511
2,7,19,-2.217,0.503
2,7,20,-1.951,0.573
2,7,21,-2.392,0.518
